交易日期,淨值,市價,折溢價利率(%)
2020-01-02,28.69,28.18,-1.78%
2020-01-03,28.5,28.44,-0.21%
2020-01-06,28.07,28.42,1.25%
2020-01-07,28.63,28.57,-0.21%
2020-01-08,28.12,28.06,-0.21%
2020-01-09,29.26,28.81,-1.54%
2020-01-10,29.58,29.28,-1.01%
2020-01-13,30.29,29.98,-1.02%
2020-01-14,30.17,30.3,0.43%
2020-01-15,29.8,29.43,-1.24%
2020-01-16,30.02,29.69,-1.10%
2020-01-17,30.4,29.76,-2.11%
2020-01-30,24.22,24.75,2.19%
2020-01-31,23.7,24.72,4.30%
2020-02-03,24.07,24.47,1.66%
2020-02-04,25.95,25.28,-2.58%
2020-02-05,27.26,26.04,-4.48%
2020-02-06,26.94,27.09,0.56%
2020-02-07,26.5,26.49,-0.04%
2020-02-10,26.32,26.53,0.80%
2020-02-11,27.04,27.1,0.22%
2020-02-12,27.75,27.62,-0.47%
2020-02-13,27.46,27.69,0.84%
2020-02-14,27.74,27.9,0.58%
2020-02-18,27.49,27.68,0.69%
2020-02-19,27.88,27.97,0.32%
2020-02-20,28.07,27.82,-0.89%
2020-02-21,27.57,27.72,0.54%
2020-02-24,25.37,26.55,4.65%
2020-02-25,26.01,26.31,1.15%
2020-02-26,25.69,26.18,1.91%
2020-02-27,26.17,25.65,-1.99%
2020-03-02,25.5,25.49,-0.04%
2020-03-03,25.95,26.05,0.39%
2020-03-04,26.22,25.9,-1.22%
2020-03-05,26.57,26.95,1.43%
2020-03-06,25.59,25.97,1.48%
2020-03-09,23.78,23.72,-0.25%
2020-03-10,24.61,24.45,-0.65%
2020-03-11,23.44,23.74,1.28%
2020-03-12,21.63,21.87,1.11%
2020-03-13,21.15,21.0,-0.71%
2020-03-16,19.97,20.13,0.80%
2020-03-17,18.99,19.36,1.95%
2020-03-18,17.34,19.3,11.30%
2020-03-19,17.46,16.68,-4.47%
2020-03-20,19.34,18.05,-6.67%
2020-03-23,17.29,17.6,1.79%
2020-03-24,19.49,18.51,-5.03%
2020-03-25,20.43,19.8,-3.08%
2020-03-26,20.25,20.6,1.73%
2020-03-27,20.25,20.5,1.23%
2020-03-30,20.11,20.45,1.69%
2020-03-31,20.76,20.3,-2.22%
2020-04-01,20.19,20.48,1.44%
2020-04-06,21.1,20.9,-0.95%
2020-04-07,22.34,21.43,-4.07%
2020-04-08,21.39,21.52,0.61%
2020-04-09,21.5,21.54,0.19%
2020-04-14,22.21,22.18,-0.14%
2020-04-15,21.83,22.33,2.29%
2020-04-16,22.32,22.18,-0.63%
2020-04-17,23.26,23.48,0.95%
2020-04-20,22.76,23.16,1.76%
2020-04-21,21.83,22.11,1.28%
2020-04-22,22.54,22.28,-1.15%
2020-04-23,22.76,22.65,-0.48%
2020-04-24,22.27,22.26,-0.04%
2020-04-27,22.72,22.81,0.40%
2020-04-28,23.7,22.9,-3.38%
2020-04-29,23.09,23.13,0.17%
2020-05-04,20.94,21.21,1.29%
2020-05-05,21.41,21.46,0.23%
2020-05-06,22.35,22.19,-0.72%
2020-05-07,21.77,22.08,1.42%
2020-05-08,22.89,22.89,0.00%
2020-05-11,23.32,23.5,0.77%
2020-05-12,23.5,23.29,-0.89%
2020-05-13,23.34,23.4,0.26%
2020-05-14,22.75,22.85,0.44%
2020-05-15,22.95,23.12,0.74%
2020-05-18,23.46,23.28,-0.77%
2020-05-19,24.38,24.25,-0.53%
2020-05-20,25.04,24.53,-2.04%
2020-05-21,23.99,24.28,1.21%
2020-05-22,22.37,21.86,-2.28%
2020-05-26,22.92,22.83,-0.39%
2020-05-27,22.91,22.58,-1.44%
2020-05-28,22.2,22.13,-0.32%
2020-05-29,22.42,22.2,-0.98%
2020-06-01,23.59,24.0,1.74%
2020-06-02,24.54,23.99,-2.24%
2020-06-03,25.31,24.87,-1.74%
2020-06-04,25.29,25.17,-0.47%
2020-06-05,25.52,25.16,-1.41%
2020-06-08,25.62,25.3,-1.25%
2020-06-09,25.43,25.94,2.01%
2020-06-10,25.84,26.09,0.97%
2020-06-11,25.53,25.8,1.06%
2020-06-12,25.32,25.01,-1.22%
2020-06-15,24.49,24.4,-0.37%
2020-06-16,26.11,25.8,-1.19%
2020-06-17,25.99,25.73,-1.00%
2020-06-18,26.49,26.15,-1.28%
2020-06-19,26.74,26.48,-0.97%
2020-06-22,26.61,26.63,0.08%
2020-06-23,27.88,27.15,-2.62%
2020-06-24,27.45,27.9,1.64%
2020-06-29,26.44,26.2,-0.91%
2020-06-30,26.63,26.66,0.11%
2020-07-02,28.34,28.0,-1.20%
2020-07-06,32.65,31.07,-4.84%
2020-07-07,32.22,32.06,-0.50%
2020-07-08,33.43,32.8,-1.88%
2020-07-09,34.25,35.11,2.51%
2020-07-10,33.82,33.97,0.44%
2020-07-13,34.82,34.7,-0.34%
2020-07-14,32.34,32.27,-0.22%
2020-07-15,32.7,32.59,-0.34%
2020-07-16,30.52,30.91,1.28%
2020-07-17,30.98,30.87,-0.36%
2020-07-20,32.28,31.6,-2.11%
2020-07-21,33.29,32.97,-0.96%
2020-07-22,31.83,33.45,5.09%
