交易日期,淨值,市價,折溢價利率(%)
2020-01-02,97.79,97.65,-0.14%
2020-01-03,98.04,97.65,-0.40%
2020-01-06,96.48,96.4,-0.08%
2020-01-07,95.94,96.1,0.17%
2020-01-08,95.43,95.65,0.23%
2020-01-09,96.89,96.95,0.06%
2020-01-10,97.37,97.3,-0.07%
2020-01-13,97.97,98.0,0.03%
2020-01-14,98.69,98.6,-0.09%
2020-01-15,97.73,97.6,-0.13%
2020-01-16,97.21,97.3,0.09%
2020-01-17,97.34,97.3,-0.04%
2020-01-20,97.48,97.7,0.23%
2020-01-30,92.03,92.15,0.13%
2020-01-31,89.84,89.95,0.12%
2020-02-03,88.83,89.05,0.25%
2020-02-04,90.62,90.6,-0.02%
2020-02-05,90.93,90.85,-0.09%
2020-02-06,92.2,92.3,0.11%
2020-02-07,91.22,91.2,-0.02%
2020-02-10,91.06,91.0,-0.07%
2020-02-11,91.76,91.75,-0.01%
2020-02-12,92.62,92.65,0.03%
2020-02-13,92.82,92.8,-0.02%
2020-02-14,92.88,92.95,0.08%
2020-02-17,92.37,92.3,-0.08%
2020-02-18,91.03,91.05,0.02%
2020-02-19,91.98,92.1,0.13%
2020-02-20,91.6,91.7,0.11%
2020-02-21,91.32,91.25,-0.08%
2020-02-24,90.02,90.1,0.09%
2020-02-25,90.23,90.35,0.13%
2020-02-26,89.29,89.45,0.18%
2020-02-27,88.45,88.65,0.23%
2020-03-02,87.24,87.35,0.13%
2020-03-03,88.6,88.6,0.00%
2020-03-04,89.27,89.2,-0.08%
2020-03-05,90.17,90.2,0.03%
2020-03-06,88.31,88.35,0.05%
2020-03-09,85.8,85.85,0.06%
2020-03-10,86.02,86.3,0.33%
2020-03-11,85.1,85.3,0.24%
2020-03-12,81.87,82.15,0.34%
2020-03-13,80.31,81.0,0.86%
2020-03-16,76.86,77.3,0.57%
2020-03-17,74.69,74.85,0.21%
2020-03-18,72.72,72.8,0.11%
2020-03-19,69.1,68.55,-0.80%
2020-03-20,74.07,74.0,-0.09%
2020-03-23,70.87,70.8,-0.10%
2020-03-24,74.1,74.25,0.20%
2020-03-25,76.79,76.85,0.08%
