交易日期,淨值,市價,折溢價利率(%)
2020-01-02,45.1562,44.74,-0.92%
2020-01-03,45.5694,45.64,0.15%
2020-01-06,45.312,45.75,0.97%
2020-01-07,45.0359,45.21,0.39%
2020-01-08,44.8087,45.2,0.87%
2020-01-09,44.8088,44.84,0.07%
2020-01-10,45.2809,44.72,-1.24%
2020-01-13,45.0358,45.14,0.23%
2020-01-14,45.1741,44.85,-0.72%
2020-01-15,45.408,45.16,-0.55%
2020-01-16,45.3436,45.39,0.10%
2020-01-17,45.3315,45.02,-0.69%
2020-01-30,46.9243,45.81,-2.37%
2020-01-31,47.1539,46.65,-1.07%
2020-02-03,47.179,47.31,0.28%
2020-02-04,46.6258,46.98,0.76%
2020-02-05,46.2933,46.6,0.66%
2020-02-06,46.3806,46.06,-0.69%
2020-02-07,46.8713,46.51,-0.77%
2020-02-10,46.8733,46.78,-0.20%
2020-02-11,46.6695,46.54,-0.28%
2020-02-12,46.5336,46.39,-0.31%
2020-02-13,46.6715,46.6,-0.15%
2020-02-14,46.8558,46.67,-0.40%
2020-02-18,47.1873,47.22,0.07%
2020-02-19,47.1496,47.16,0.02%
2020-02-20,47.4465,47.39,-0.12%
2020-02-21,47.9295,47.8,-0.27%
2020-02-24,47.9142,47.78,-0.28%
2020-02-25,47.7338,47.62,-0.24%
2020-02-26,47.4354,47.4,-0.07%
2020-02-27,47.1129,47.25,0.29%
2020-03-02,46.7014,47.72,2.18%
2020-03-03,47.1864,46.26,-1.96%
2020-03-04,46.872,47.25,0.81%
2020-03-05,47.4295,46.72,-1.50%
2020-03-06,48.1029,48.49,0.80%
2020-03-09,47.4166,50.15,5.76%
2020-03-10,46.3106,46.09,-0.48%
2020-03-11,45.0968,46.88,3.95%
2020-03-12,42.7043,45.37,6.24%
2020-03-13,42.428,41.96,-1.10%
2020-03-16,42.3723,43.33,2.26%
2020-03-17,40.4553,41.4,2.34%
2020-03-18,38.3406,39.6,3.28%
2020-03-19,36.9851,38.5,4.10%
2020-03-20,37.2565,36.79,-1.25%
2020-03-23,38.1235,37.8,-0.85%
2020-03-24,39.1646,37.85,-3.36%
2020-03-25,40.1996,38.22,-4.92%
2020-03-26,41.49,40.3,-2.87%
2020-03-27,42.2785,41.35,-2.20%
2020-03-30,42.5865,42.99,0.95%
2020-03-31,43.1725,42.84,-0.77%
2020-04-01,43.2418,43.41,0.39%
2020-04-06,42.8509,43.41,1.30%
2020-04-07,43.0596,42.64,-0.97%
2020-04-08,43.3005,43.24,-0.14%
2020-04-09,44.539,43.3,-2.78%
2020-04-13,44.9822,45.11,0.28%
2020-04-14,45.0597,45.0,-0.13%
2020-04-15,45.4602,45.3,-0.35%
2020-04-16,45.6963,45.5,-0.43%
2020-04-17,45.558,45.24,-0.70%
2020-04-20,45.4685,45.9,0.95%
2020-04-21,45.5411,45.7,0.35%
2020-04-22,45.2419,45.78,1.19%
2020-04-23,45.534,45.35,-0.40%
2020-04-24,45.6613,45.75,0.19%
2020-04-27,45.1943,45.44,0.54%
2020-04-28,45.3335,45.16,-0.38%
2020-04-29,45.2739,45.17,-0.23%
2020-04-30,44.7731,45.1,0.73%
2020-05-04,44.5234,45.18,1.47%
2020-05-05,44.3639,44.47,0.24%
2020-05-06,44.0095,44.36,0.80%
2020-05-07,44.2343,44.25,0.04%
2020-05-08,43.662,44.07,0.93%
2020-05-11,43.1615,43.46,0.69%
2020-05-12,43.4365,43.38,-0.13%
2020-05-13,43.7109,43.7,-0.02%
2020-05-14,44.0086,43.7,-0.70%
2020-05-15,44.1984,44.07,-0.29%
2020-05-18,44.1992,44.2,0.00%
2020-05-19,44.7228,44.3,-0.95%
2020-05-20,45.1048,44.8,-0.68%
2020-05-21,44.8587,44.8,-0.13%
2020-05-22,45.0924,45.1,0.02%
2020-05-26,44.9286,45.0,0.16%
2020-05-27,44.9397,44.95,0.02%
2020-05-28,44.9429,45.8,1.91%
2020-05-29,45.1714,45.3,0.28%
2020-06-01,44.9645,45.0,0.08%
2020-06-02,45.0502,45.18,0.29%
2020-06-03,44.7729,44.9,0.28%
2020-06-04,44.6373,45.0,0.81%
2020-06-05,44.6925,44.8,0.24%
2020-06-08,44.9901,44.7,-0.64%
2020-06-09,45.2922,45.3,0.02%
2020-06-10,45.3284,44.93,-0.88%
2020-06-11,45.615,45.88,0.58%
2020-06-12,45.2643,44.83,-0.96%
2020-06-15,45.2364,45.03,-0.46%
2020-06-16,45.5693,45.01,-1.23%
2020-06-17,45.5962,45.65,0.12%
2020-06-18,45.7335,45.65,-0.18%
2020-06-19,45.6523,45.6,-0.11%
2020-06-22,45.7648,45.75,-0.03%
2020-06-23,45.5111,45.62,0.24%
2020-06-24,45.4318,45.3,-0.29%
2020-06-29,45.6036,46.0,0.87%
2020-06-30,45.6709,45.55,-0.26%
2020-07-01,45.7635,45.5,-0.58%
2020-07-02,45.9737,45.8,-0.38%
2020-07-06,45.9793,45.7,-0.61%
2020-07-07,46.5775,45.9,-1.45%
2020-07-08,46.4898,46.45,-0.09%
2020-07-09,46.9279,46.5,-0.91%
2020-07-10,46.9592,46.99,0.07%
2020-07-13,47.021,46.8,-0.47%
2020-07-14,47.0407,47.1,0.13%
2020-07-15,47.0706,46.9,-0.36%
2020-07-16,47.3115,47.1,-0.45%
2020-07-17,47.3918,47.3,-0.19%
2020-07-20,47.7131,47.35,-0.76%
2020-07-21,47.8856,47.65,-0.49%
2020-07-22,47.9575,47.73,-0.47%
2020-07-23,48.3243,47.9,-0.88%
2020-07-24,48.3263,48.6,0.57%
2020-07-27,48.0131,48.36,0.72%
2020-07-28,48.13,47.7,-0.89%
2020-07-29,48.0943,48.1,0.01%
2020-07-30,48.2314,48.05,-0.38%
2020-07-31,48.1992,48.4,0.42%
2020-08-03,48.1341,48.25,0.24%
2020-08-04,48.4533,48.08,-0.77%
2020-08-05,48.2202,48.35,0.27%
2020-08-06,48.4386,48.3,-0.29%
