交易日期,淨值,市價,折溢價利率(%)
2020-01-02,25.69,25.29,-1.56%
2020-01-03,25.43,25.48,0.20%
2020-01-06,25.62,25.31,-1.21%
2020-01-07,25.63,25.65,0.08%
2020-01-08,25.82,25.46,-1.39%
2020-01-09,26.0,25.79,-0.81%
2020-01-10,25.98,26.05,0.27%
2020-01-13,26.2,25.96,-0.92%
2020-01-14,26.04,26.14,0.38%
2020-01-15,26.08,25.93,-0.58%
2020-01-16,26.4,26.14,-0.98%
2020-01-17,26.56,26.4,-0.60%
2020-01-30,26.05,25.7,-1.34%
2020-01-31,25.54,26.24,2.74%
2020-02-03,25.96,25.85,-0.42%
2020-02-04,26.34,25.92,-1.59%
2020-02-05,26.39,26.23,-0.61%
2020-02-06,26.55,26.42,-0.49%
2020-02-07,26.47,26.54,0.26%
2020-02-10,26.79,26.5,-1.08%
2020-02-11,26.74,26.89,0.56%
2020-02-12,26.99,26.76,-0.85%
2020-02-13,26.94,26.88,-0.22%
2020-02-14,27.08,27.04,-0.15%
2020-02-18,27.16,26.95,-0.77%
2020-02-19,27.43,27.26,-0.62%
2020-02-20,27.28,27.46,0.66%
2020-02-21,26.8,27.23,1.60%
2020-02-24,25.75,26.4,2.52%
2020-02-25,24.87,25.95,4.34%
2020-02-26,24.92,25.06,0.56%
2020-02-27,23.63,24.5,3.68%
2020-03-02,24.76,23.7,-4.28%
2020-03-03,23.81,24.41,2.52%
2020-03-04,24.76,23.93,-3.35%
2020-03-05,23.88,24.5,2.60%
2020-03-06,23.46,23.6,0.60%
2020-03-09,21.88,22.26,1.74%
2020-03-10,23.1,22.6,-2.16%
2020-03-11,22.06,22.48,1.90%
2020-03-12,19.98,21.17,5.96%
2020-03-13,22.13,20.48,-7.46%
2020-03-16,19.3,20.91,8.34%
2020-03-17,20.54,20.31,-1.12%
2020-03-18,19.75,19.55,-1.01%
2020-03-19,20.19,19.2,-4.90%
2020-03-20,19.31,20.08,3.99%
2020-03-23,19.34,18.58,-3.93%
2020-03-24,21.01,19.73,-6.09%
2020-03-25,20.87,20.76,-0.53%
2020-03-26,22.07,20.71,-6.16%
2020-03-27,21.05,21.5,2.14%
2020-03-30,21.87,21.1,-3.52%
2020-03-31,21.58,21.76,0.83%
2020-04-01,20.63,21.2,2.76%
2020-04-06,22.27,21.31,-4.31%
2020-04-07,22.1,22.2,0.45%
2020-04-08,22.72,22.35,-1.63%
2020-04-09,22.71,22.65,-0.26%
2020-04-13,22.84,22.41,-1.88%
2020-04-14,23.75,23.27,-2.02%
2020-04-15,23.29,23.64,1.50%
2020-04-16,23.64,23.24,-1.69%
2020-04-17,23.98,24.26,1.17%
2020-04-20,23.65,23.91,1.10%
2020-04-21,22.71,23.53,3.61%
2020-04-22,23.61,22.78,-3.52%
2020-04-23,23.56,23.4,-0.68%
2020-04-24,23.97,23.38,-2.46%
2020-04-27,24.08,24.21,0.54%
2020-04-28,23.68,23.99,1.31%
2020-04-29,24.7,24.0,-2.83%
2020-04-30,24.55,25.0,1.83%
2020-05-04,24.13,23.76,-1.53%
2020-05-05,24.44,24.27,-0.70%
2020-05-06,24.66,24.58,-0.32%
