交易日期,淨值,市價,折溢價利率(%)
2020-01-02,34.3,33.81,-1.43%
2020-01-03,34.02,33.95,-0.21%
2020-01-06,34.26,33.75,-1.49%
2020-01-07,34.22,34.12,-0.29%
2020-01-08,34.48,33.9,-1.68%
2020-01-09,34.71,34.36,-1.01%
2020-01-10,34.64,34.66,0.06%
2020-01-13,34.97,34.56,-1.17%
2020-01-14,34.8,34.81,0.03%
2020-01-15,34.79,34.62,-0.49%
2020-01-16,35.15,34.79,-1.02%
2020-01-17,35.35,35.05,-0.85%
2020-01-30,35.59,35.07,-1.46%
2020-01-31,34.99,35.7,2.03%
2020-02-03,35.58,35.6,0.06%
2020-02-04,36.26,35.51,-2.07%
2020-02-05,36.32,36.05,-0.74%
2020-02-06,36.54,36.36,-0.49%
2020-02-07,36.44,36.42,-0.05%
2020-02-10,36.87,36.42,-1.22%
2020-02-11,36.8,36.9,0.27%
2020-02-12,37.14,36.79,-0.94%
2020-02-13,37.08,36.98,-0.27%
2020-02-14,37.19,37.24,0.13%
2020-02-18,37.33,37.15,-0.48%
2020-02-19,37.7,37.52,-0.48%
2020-02-20,37.51,37.85,0.91%
2020-02-21,36.97,37.5,1.43%
2020-02-24,35.61,36.41,2.25%
2020-02-25,34.54,36.12,4.57%
2020-02-26,34.7,35.32,1.79%
2020-02-27,32.89,34.2,3.98%
2020-03-02,34.39,33.18,-3.52%
2020-03-03,33.21,34.14,2.80%
2020-03-04,34.5,33.7,-2.32%
2020-03-05,33.41,34.3,2.66%
2020-03-06,32.96,33.08,0.36%
2020-03-09,30.8,31.4,1.95%
2020-03-10,32.34,31.89,-1.39%
2020-03-11,31.0,31.43,1.39%
2020-03-12,28.16,29.81,5.86%
2020-03-13,31.04,28.93,-6.80%
2020-03-16,27.3,28.45,4.21%
2020-03-17,29.08,28.4,-2.34%
2020-03-18,27.97,27.87,-0.36%
2020-03-19,28.57,27.14,-5.01%
2020-03-20,27.23,28.69,5.36%
2020-03-23,27.38,26.39,-3.62%
2020-03-24,29.47,28.33,-3.87%
2020-03-25,29.16,29.2,0.14%
2020-03-26,30.79,29.0,-5.81%
2020-03-27,29.53,29.9,1.25%
2020-03-30,30.73,29.71,-3.32%
2020-03-31,30.44,30.62,0.59%
2020-04-01,29.2,29.91,2.43%
2020-04-06,31.43,30.44,-3.15%
2020-04-07,31.23,31.35,0.38%
2020-04-08,31.91,31.49,-1.32%
2020-04-09,31.93,31.75,-0.56%
2020-04-13,32.27,31.32,-2.94%
2020-04-14,33.63,32.66,-2.88%
2020-04-15,33.22,33.4,0.54%
2020-04-16,33.93,33.2,-2.15%
2020-04-17,34.18,34.63,1.32%
2020-04-20,33.75,34.18,1.27%
2020-04-21,32.53,33.56,3.17%
2020-04-22,33.55,32.6,-2.83%
2020-04-23,33.44,33.52,0.24%
2020-04-24,34.0,33.19,-2.38%
2020-04-27,34.15,34.36,0.61%
2020-04-28,33.53,34.22,2.06%
2020-04-29,34.59,34.03,-1.62%
2020-04-30,34.46,34.83,1.07%
2020-05-04,33.91,33.13,-2.30%
2020-05-05,34.28,34.19,-0.26%
